5	"central authorities such_as publishing companies"	local:centralauthorities_such_as	"publishing companies"
5	"propose"	vn.role:Topic	"design scientific data publishing as web-based bottom-up process"
5	"design"	vn.role:Agent	"we"
5	"scientific data"	rdfs:member	"scientific data publishing"
5	"data publishing"	rdfs:subClassOf	"publishing"
5	"scientific data publishing"	rdfs:subClassOf	"publishing"
5	"scientific data"	rdfs:subClassOf	"data"
5	"scientific"	rdfs:member	"scientific data"
5	"data"	rdfs:member	"data publishing"
5	"scientific data publishing"	rdfs:subClassOf	"data publishing"
5	"design"	vn.role:Product	"scientific data publishing"
5	"bottom-up process"	rdfs:subClassOf	"process"
5	"web-based bottom-up"	rdfs:member	"web-based bottom-up process"
5	"web-based"	rdfs:member	"web-based bottom-up"
5	"bottom-up"	rdfs:member	"bottom-up process"
5	"web-based bottom-up process"	rdfs:subClassOf	"process"
5	"web-based bottom-up"	rdfs:subClassOf	"bottom-up"
5	"web-based bottom-up process"	rdfs:subClassOf	"bottom-up process"
5	"design"	local:AM-MNR	"web-based bottom-up process"
5	"top-down control"	rdfs:subClassOf	"control"
5	"central"	rdfs:member	"central authorities"
5	"publishing companies"	rdfs:subClassOf	"companies"
5	"central authorities"	rdfs:subClassOf	"authorities"
5	"top-down"	rdfs:member	"top-down control"
5	"publishing"	rdfs:member	"publishing companies"
5	"top-down control of central authorities"	local:of_centralauthorities	"top-down control"
5	"top-down control of central authorities"	local:top-downcontrol_of	"central authorities"
5	"central authorities such_as publishing companies"	local:such_as_publishingcompanies	"central authorities"
5	"central authorities such_as publishing companies"	local:centralauthorities_such_as	"publishing companies"
5	"design"	local:AM-MNR	"top-down control of central authorities"
6	"server network"	rdfs:subClassOf	"network"
6	"novel combination"	rdfs:subClassOf	"combination"
6	"novel"	rdfs:member	"novel combination"
6	"server"	rdfs:member	"server network"
6	"rdf-based"	rdfs:member	"rdf-based format"
6	"rdf-based format"	rdfs:subClassOf	"format"
6	"decentrally store"	rdfs:subClassOf	"store"
6	"existing concepts"	rdfs:subClassOf	"concepts"
6	"novel combination of existing concepts"	local:of_existingconcepts	"novel combination"
6	"novel combination of existing concepts"	local:novelcombination_of	"existing concepts"
6	"decentrally store in form"	local:in_form	"decentrally store"
6	"decentrally store in form"	local:decentrallystore_in	"form"
6	"form of rdf-based format"	local:of_rdf-basedformat	"form"
6	"form of rdf-based format"	local:form_of	"rdf-based format"
6	"based"	vn.role:indirect_object	"novel combination of existing concepts"
6	"existing"	vn.role:Location	"concepts"
6	"novel combination"	rdfs:subClassOf	"combination"
6	"novel"	rdfs:member	"novel combination"
6	"existing concepts"	rdfs:subClassOf	"concepts"
6	"novel combination of existing concepts"	local:of_existingconcepts	"novel combination"
6	"novel combination of existing concepts"	local:novelcombination_of	"existing concepts"
6	"present"	local:AM-ADV	"novel combination of existing concepts"
6	"present"	vn.role:Agent	"we"
6	"server"	rdfs:member	"server network"
6	"server network"	rdfs:subClassOf	"network"
6	"present"	vn.role:Theme	"server network"
6	"decentrally"	rdfs:member	"decentrally store"
6	"archive"	rdfs:member	"archive data"
6	"decentrally store"	rdfs:subClassOf	"store"
6	"archive data"	rdfs:subClassOf	"data"
6	"rdf-based"	rdfs:member	"rdf-based format"
6	"rdf-based format"	rdfs:subClassOf	"format"
6	"store archive data"	rdfs:subClassOf	"archive data"
