11	"description service state relevant changes"	rdfs:subClassOf	"service state relevant changes"
11	"relevant to interacting parties"	local:to_interactingparties	"relevant"
11	"relevant to interacting parties"	local:relevant_to	"interacting parties"
11	"capture"	local:AM-LOC	"description service state relevant changes"
11	"single service"	rdfs:subClassOf	"service"
11	"single"	rdfs:member	"single service"
11	"interacting"	vn.role:Actor	"single service"
11	"service"	rdfs:member	"service state"
11	"state changes"	rdfs:subClassOf	"changes"
11	"description service"	rdfs:member	"description service state"
11	"description"	rdfs:member	"description service"
11	"description service state changes"	rdfs:subClassOf	"changes"
11	"description service"	rdfs:subClassOf	"service"
11	"description service state"	rdfs:subClassOf	"state"
11	"state"	rdfs:member	"state changes"
11	"service state"	rdfs:member	"service state changes"
11	"service state changes"	rdfs:subClassOf	"changes"
11	"description service state"	rdfs:member	"description service state changes"
11	"service state"	rdfs:subClassOf	"state"
11	"service state changes"	rdfs:subClassOf	"state changes"
11	"description service state changes"	rdfs:subClassOf	"service state changes"
11	"interacting"	vn.role:Actor	"description service state changes"
11	"interacting"	vn.role:Actor1	"parties"
12	"initiated"	vn.role:Theme	"interactions"
12	"initiated"	vn.role:Agent	"service"
13	"replace"	local:AM-NEG	"not"
13	"existing work"	rdfs:subClassOf	"work"
13	"replace"	vn.role:Theme1	"existing work"
13	"interaction protocol"	rdfs:subClassOf	"protocol"
13	"interaction"	rdfs:member	"interaction protocol"
13	"only focuses"	rdfs:subClassOf	"focuses"
13	"only focuses on description"	local:on_description	"only focuses"
13	"only focuses on description"	local:onlyfocuses_on	"description"
13	"description of interaction protocol"	local:of_interactionprotocol	"description"
13	"description of interaction protocol"	local:description_of	"interaction protocol"
13	"interaction protocol of service"	local:of_service	"interaction protocol"
13	"interaction protocol of service"	local:interactionprotocol_of	"service"
13	"replace"	local:AM-TMP	"only focuses on description"
13	"existing"	vn.role:Location	"work"
13	"focuses"	vn.role:Experiencer	"model"
13	"focuses"	local:AM-ADV	"only"
13	"interaction protocol"	rdfs:subClassOf	"protocol"
13	"interaction"	rdfs:member	"interaction protocol"
13	"description of interaction protocol"	local:of_interactionprotocol	"description"
13	"description of interaction protocol"	local:description_of	"interaction protocol"
13	"interaction protocol of service"	local:of_service	"interaction protocol"
13	"interaction protocol of service"	local:interactionprotocol_of	"service"
13	"focuses"	vn.role:indirect_object	"description of interaction protocol"
14	"inform"	vn.role:Topic	"development"
14	"inform"	vn.role:Recipient	"work"
