0	"used"	local:AM-MNR	"widely"
2	"capture support support"	rdfs:subClassOf	"support"
2	"embeddings- ability"	rdfs:member	"embeddings- ability ability"
2	"support support"	rdfs:subClassOf	"support"
2	"embeddings- ability ability"	rdfs:subClassOf	"ability"
2	"ability ability"	rdfs:subClassOf	"ability"
2	"capture support"	rdfs:member	"capture support support"
2	"reasoning tasks"	rdfs:subClassOf	"tasks"
2	"reasoning reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
2	"other reasoning reasoning tasks"	rdfs:subClassOf	"reasoning reasoning tasks"
2	"other other reasoning reasoning tasks"	rdfs:subClassOf	"other reasoning reasoning tasks"
2	"capture support support"	rdfs:subClassOf	"support support"
2	"referred"	vn.role:Theme	"tasks"
2	"referred"	vn.role:Theme	"embeddings"
2	"graphs"	rdfs:member	"graphs embeddings-"
2	"knowledge graphs"	rdfs:subClassOf	"graphs"
2	"graphs embeddings-"	rdfs:subClassOf	"embeddings-"
2	"knowledge graphs"	rdfs:member	"knowledge graphs embeddings-"
2	"knowledge"	rdfs:member	"knowledge graphs"
2	"knowledge graphs embeddings-"	rdfs:subClassOf	"embeddings-"
2	"graphs embeddings"	rdfs:subClassOf	"embeddings"
2	"knowledge graphs embeddings"	rdfs:subClassOf	"graphs embeddings"
2	"to referred"	rdfs:subClassOf	"referred"
2	"often to referred"	rdfs:subClassOf	"to referred"
2	"vector spaces"	rdfs:subClassOf	"spaces"
2	"represented in graph"	local:in_graph	"represented"
2	"represented in graph"	local:represented_in	"graph"
2	"represented in graph into vector spaces"	local:into_vectorspaces	"represented in graph"
2	"represented in graph into vector spaces"	local:representedingraph_into	"vector spaces"
2	"often to referred as knowledge graphs embeddings"	local:as_knowledgegraphsembeddings	"often to referred"
2	"often to referred as knowledge graphs embeddings"	local:oftentoreferred_as	"knowledge graphs embeddings"
2	"become"	vn.role:Patient	"approaches"
2	"increasingly popular"	rdfs:subClassOf	"popular"
2	"become"	vn.role:indirect_object	"increasingly popular"
2	"embeddings- ability"	rdfs:subClassOf	"ability"
2	"embeddings-"	rdfs:member	"embeddings- ability"
2	"knowledge graphs"	rdfs:subClassOf	"graphs"
2	"knowledge"	rdfs:member	"knowledge graphs"
2	"reasoning tasks"	rdfs:subClassOf	"tasks"
2	"other reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
2	"graphs embeddings"	rdfs:subClassOf	"embeddings"
2	"knowledge graphs embeddings"	rdfs:subClassOf	"graphs embeddings"
2	"to referred"	rdfs:subClassOf	"referred"
2	"often to referred"	rdfs:subClassOf	"to referred"
2	"vector spaces"	rdfs:subClassOf	"spaces"
2	"entities represented"	local:_represented	"entities"
2	"entities represented"	local:entities_	"represented"
2	"represented in graph"	local:in_graph	"represented"
2	"represented in graph"	local:represented_in	"graph"
2	"graph into vector spaces"	local:into_vectorspaces	"graph"
2	"graph into vector spaces"	local:graph_into	"vector spaces"
2	"often to referred as knowledge graphs embeddings"	local:as_knowledgegraphsembeddings	"often to referred"
2	"often to referred as knowledge graphs embeddings"	local:oftentoreferred_as	"knowledge graphs embeddings"
2	"become"	local:AM-ADV	"often to referred as knowledge graphs embeddings"
2	"knowledge graphs"	rdfs:subClassOf	"graphs"
2	"knowledge"	rdfs:member	"knowledge graphs"
2	"capture"	vn.role:Agent	"knowledge graphs"
2	"reasoning tasks"	rdfs:subClassOf	"tasks"
2	"other reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
2	"capture"	vn.role:Theme	"support"
3	"representation of time"	local:of_time	"representation"
3	"representation of time"	local:representation_of	"time"
3	"received"	vn.role:Agent	"however"
3	"little attention"	rdfs:subClassOf	"attention"
3	"little"	rdfs:member	"little attention"
3	"received"	vn.role:Theme	"little attention"
3	"received"	local:AM-LOC	"approaches"
4	"make"	local:AM-LOC	"work"
4	"make"	vn.role:Agent	"we"
4	"entity"	rdfs:member	"entity embeddings"
4	"typed entity"	rdfs:subClassOf	"entity"
4	"typed entity embeddings"	rdfs:subClassOf	"embeddings"
4	"first step"	rdfs:subClassOf	"step"
4	"entity embeddings"	rdfs:subClassOf	"embeddings"
4	"first"	rdfs:member	"first step"
4	"typed entity"	rdfs:member	"typed entity embeddings"
4	"typed"	rdfs:member	"typed entity"
4	"make"	vn.role:Material	"first step"
4	"encode"	vn.role:Agent	"we"
4	"encode"	vn.role:Patient	"time"
4	"entity"	rdfs:member	"entity embeddings"
4	"typed entity"	rdfs:subClassOf	"entity"
4	"typed entity embeddings"	rdfs:subClassOf	"embeddings"
4	"entity embeddings"	rdfs:subClassOf	"embeddings"
4	"typed entity"	rdfs:member	"typed entity embeddings"
4	"typed"	rdfs:member	"typed entity"
4	"using named"	local:_named	"using"
4	"using named"	local:using_	"named"
4	"encode"	vn.role:Destination	"using named"
4	"entity"	rdfs:member	"entity embeddings"
4	"typed entity"	rdfs:subClassOf	"entity"
4	"typed entity embeddings"	rdfs:subClassOf	"embeddings"
4	"entity embeddings"	rdfs:subClassOf	"embeddings"
4	"typed entity"	rdfs:member	"typed entity embeddings"
4	"typed"	rdfs:member	"typed entity"
4	"using"	vn.role:Theme	"named"
4	"entity"	rdfs:member	"entity embeddings"
4	"typed entity"	rdfs:subClassOf	"entity"
4	"typed entity embeddings"	rdfs:subClassOf	"embeddings"
4	"entity embeddings"	rdfs:subClassOf	"embeddings"
4	"typed entity"	rdfs:member	"typed entity embeddings"
4	"typed"	rdfs:member	"typed entity"
4	"typed entity embeddings"	rdfs:subClassOf	"entity embeddings"
4	"named"	vn.role:Theme	"typed entity embeddings"
5	"entity"	rdfs:member	"entity embeddings"
5	"entity embeddings"	rdfs:subClassOf	"embeddings"
5	"typed"	vn.role:Theme	"entity embeddings"
5	"entity"	rdfs:member	"entity embeddings"
5	"typed entity"	rdfs:subClassOf	"entity"
5	"typed entity embeddings"	rdfs:subClassOf	"embeddings"
5	"entity embeddings"	rdfs:subClassOf	"embeddings"
5	"typed entity"	rdfs:member	"typed entity embeddings"
5	"typed"	rdfs:member	"typed entity"
5	"typed entity embeddings"	rdfs:subClassOf	"entity embeddings"
5	"represented"	local:AM-LOC	"typed entity embeddings"
5	"represented"	vn.role:Theme	"entity"
5	"entity type"	rdfs:subClassOf	"type"
5	"text"	rdfs:member	"text corpus"
5	"entity"	rdfs:member	"entity mentions"
5	"entity mentions"	rdfs:subClassOf	"mentions"
5	"entity"	rdfs:member	"entity type"
5	"text corpus"	rdfs:subClassOf	"corpus"
5	"learned from entity"	local:from_entity	"learned"
5	"learned from entity"	local:learned_from	"entity"
5	"found in text corpus"	local:in_textcorpus	"found"
5	"found in text corpus"	local:found_in	"text corpus"
5	"represented"	vn.role:Agent	"mentions"
5	"represents"	vn.role:Agent	"vector"
5	"entity type"	rdfs:subClassOf	"type"
5	"text"	rdfs:member	"text corpus"
5	"entity"	rdfs:member	"entity mentions"
5	"entity mentions"	rdfs:subClassOf	"mentions"
5	"entity"	rdfs:member	"entity type"
5	"text corpus"	rdfs:subClassOf	"corpus"
5	"learned from entity"	local:from_entity	"learned"
5	"learned from entity"	local:learned_from	"entity"
5	"found in text corpus"	local:in_textcorpus	"found"
5	"found in text corpus"	local:found_in	"text corpus"
5	"represents"	vn.role:Theme	"mentions"
5	"entity"	rdfs:member	"entity type"
5	"entity type"	rdfs:subClassOf	"type"
5	"learned"	vn.role:Theme	"entity type"
5	"learned"	vn.role:Source	"entity"
5	"mentions"	vn.role:Agent	"entity"
5	"text corpus"	rdfs:subClassOf	"corpus"
5	"text"	rdfs:member	"text corpus"
5	"found in text corpus"	local:in_textcorpus	"found"
5	"found in text corpus"	local:found_in	"text corpus"
5	"mentions"	vn.role:Topic	"found in text corpus"
5	"text corpus"	rdfs:subClassOf	"corpus"
5	"text"	rdfs:member	"text corpus"
5	"found"	local:AM-LOC	"text corpus"
6	"cognitive"	rdfs:member	"cognitive sciences"
6	"application-oriented"	rdfs:member	"application-oriented concerns"
6	"application-oriented concerns"	rdfs:subClassOf	"concerns"
6	"cognitive sciences"	rdfs:subClassOf	"sciences"
6	"evidence from cognitive sciences"	local:from_cognitivesciences	"evidence"
6	"evidence from cognitive sciences"	local:evidence_from	"cognitive sciences"
6	"evidence from cognitive sciences from application-oriented concerns"	local:from_application-orientedconcerns	"evidence from cognitive sciences"
6	"evidence from cognitive sciences from application-oriented concerns"	local:evidencefromcognitivesciences_from	"application-oriented concerns"
6	"inspired"	vn.role:Experiencer	"evidence from cognitive sciences from application-oriented concerns"
6	"cognitive"	rdfs:member	"cognitive sciences"
6	"application-oriented"	rdfs:member	"application-oriented concerns"
6	"application-oriented concerns"	rdfs:subClassOf	"concerns"
6	"cognitive sciences"	rdfs:subClassOf	"sciences"
6	"inspired by evidence"	local:by_evidence	"inspired"
6	"inspired by evidence"	local:inspired_by	"evidence"
6	"evidence from cognitive sciences"	local:from_cognitivesciences	"evidence"
6	"evidence from cognitive sciences"	local:evidence_from	"cognitive sciences"
6	"evidence from cognitive sciences from application-oriented concerns"	local:from_application-orientedconcerns	"evidence from cognitive sciences"
6	"evidence from cognitive sciences from application-oriented concerns"	local:evidencefromcognitivesciences_from	"application-oriented concerns"
6	"propose"	local:AM-ADV	"inspired by evidence"
6	"propose"	vn.role:Agent	"we"
6	"entity"	rdfs:member	"entity embeddings"
6	"typed entity"	rdfs:subClassOf	"entity"
6	"typed entity embeddings"	rdfs:subClassOf	"embeddings"
6	"entity embeddings"	rdfs:subClassOf	"embeddings"
6	"typed entity"	rdfs:member	"typed entity embeddings"
6	"typed"	rdfs:member	"typed entity"
6	"typed entity embeddings"	rdfs:subClassOf	"entity embeddings"
6	"representations of years"	local:of_years	"representations"
6	"representations of years"	local:representations_of	"years"
6	"encode into typed entity embeddings"	local:into_typedentityembeddings	"encode"
6	"encode into typed entity embeddings"	local:encode_into	"typed entity embeddings"
6	"propose"	vn.role:Topic	"approach"
6	"event-based"	rdfs:member	"event-based descriptions"
6	"event-based descriptions"	rdfs:subClassOf	"descriptions"
6	"representations of entities"	local:of_entities	"representations"
6	"representations of entities"	local:representations_of	"entities"
6	"occur in event-based descriptions"	local:in_event-baseddescriptions	"occur"
6	"occur in event-based descriptions"	local:occur_in	"event-based descriptions"
6	"event-based descriptions of years"	local:of_years	"event-based descriptions"
6	"event-based descriptions of years"	local:event-baseddescriptions_of	"years"
6	"propose"	local:AM-MNR	"aggregating"
6	"encode"	vn.role:Agent	"approach"
6	"representations of years"	local:of_years	"representations"
6	"representations of years"	local:representations_of	"years"
6	"encode"	vn.role:Patient	"representations of years"
6	"entity"	rdfs:member	"entity embeddings"
6	"typed entity"	rdfs:subClassOf	"entity"
6	"typed entity embeddings"	rdfs:subClassOf	"embeddings"
6	"entity embeddings"	rdfs:subClassOf	"embeddings"
6	"typed entity"	rdfs:member	"typed entity embeddings"
6	"typed"	rdfs:member	"typed entity"
6	"typed entity embeddings"	rdfs:subClassOf	"entity embeddings"
6	"encode"	vn.role:Source	"typed entity embeddings"
