01.4	"composed"	vn.role:Product	"system"
01.4	"composed"	vn.role:Material	"ontologies"
01.4	"system composed"	local:_composed	"system"
01.4	"system composed"	local:system_	"composed"
01.4	"composed of ontologies"	local:of_ontologies	"composed"
01.4	"composed of ontologies"	local:composed_of	"ontologies"
01.4	"interconnecting"	vn.role:Patient1	"system composed"
01.4	"interconnecting"	vn.role:Patient2	"system"
01.5	"composed"	vn.role:Product	"system"
01.5	"alignments interconnecting"	local:_interconnecting	"alignments"
01.5	"alignments interconnecting"	local:alignments_	"interconnecting"
01.5	"composed"	vn.role:Material	"alignments interconnecting"
01.5	"system composed"	local:_composed	"system"
01.5	"system composed"	local:system_	"composed"
01.5	"composed of alignments"	local:of_alignments	"composed"
01.5	"composed of alignments"	local:composed_of	"alignments"
01.5	"interconnecting"	vn.role:Patient1	"system composed"
01.5	"interconnecting"	vn.role:Patient2	"system"
01.6	"composed"	vn.role:Product	"system"
01.6	"composed"	vn.role:Material	"alignments"
01.6	"composed"	vn.role:Product	"interconnecting"
01.6	"system composed"	local:_composed	"system"
01.6	"system composed"	local:system_	"composed"
01.6	"composed of alignments"	local:of_alignments	"composed"
01.6	"composed of alignments"	local:composed_of	"alignments"
01.6	"interconnecting"	vn.role:Patient1	"system composed"
01.6	"interconnecting"	vn.role:Patient2	"them"
01.7	"give"	vn.role:Asset	"we"
01.7	"distributed system"	rdfs:subClassOf	"system"
01.7	"different semantics"	rdfs:subClassOf	"semantics"
01.7	"distributed"	rdfs:member	"distributed system"
01.7	"different"	rdfs:member	"different semantics"
01.7	"three different semantics"	rdfs:subClassOf	"different semantics"
01.7	"three different semantics of distributed system"	local:of_distributedsystem	"three different semantics"
01.7	"three different semantics of distributed system"	local:threedifferentsemantics_of	"distributed system"
01.7	"give"	vn.role:object	"three different semantics of distributed system"
01.7	"distributed"	vn.role:Theme	"system"
01.8	"distributed"	vn.role:Theme	"system"
01.8	"distributed system"	rdfs:subClassOf	"system"
01.8	"interfere"	vn.role:Agent	"distributed system"
01.8	"interfere"	local:AM-NEG	"not"
01.8	"semantics of ontologies"	local:of_ontologies	"semantics"
01.8	"semantics of ontologies"	local:semantics_of	"ontologies"
01.8	"interfere"	vn.role:Theme	"semantics of ontologies"
01.9	"compared"	vn.role:Patient2	"system"
01.9	"consistent"	rdfs:member	"consistent merge"
01.9	"consistent merge"	rdfs:subClassOf	"merge"
01.9	"consistent merge of ontologies"	local:of_ontologies	"consistent merge"
01.9	"consistent merge of ontologies"	local:consistentmerge_of	"ontologies"
01.9	"compared"	vn.role:Agent	"respect"
01.9	"consistent"	rdfs:member	"consistent merge"
01.9	"consistent merge"	rdfs:subClassOf	"merge"
01.9	"consistent merge of ontologies"	local:of_ontologies	"consistent merge"
