17	"improve"	vn.role:Patient	"performance of federated query processing engines"
17	"processing"	vn.role:Agent	"engines"
18	"querying"	vn.role:Agent	"federated"
18	"querying"	local:AM-LOC	"web"
18	"querying"	vn.role:Theme	"data"
18	"duplicate-aware"	rdfs:member	"duplicate-aware approach"
18	"novel"	rdfs:member	"novel duplicate-aware"
18	"novel duplicate-aware approach"	rdfs:subClassOf	"approach"
18	"novel duplicate-aware"	rdfs:subClassOf	"duplicate-aware"
18	"novel duplicate-aware"	rdfs:member	"novel duplicate-aware approach"
18	"duplicate-aware approach"	rdfs:subClassOf	"approach"
18	"federated querying"	rdfs:subClassOf	"querying"
18	"novel duplicate-aware approach"	rdfs:subClassOf	"duplicate-aware approach"
18	"novel duplicate-aware approach to federated querying"	local:to_federatedquerying	"novel duplicate-aware approach"
18	"novel duplicate-aware approach to federated querying"	local:novelduplicate-awareapproach_to	"federated querying"
18	"federated querying over web"	local:over_web	"federated querying"
18	"federated querying over web"	local:federatedquerying_over	"web"
18	"web of data"	local:of_data	"web"
18	"web of data"	local:web_of	"data"
18	"provides"	vn.role:Recipient	"moreover"
18	"source selection mechanism"	rdfs:subClassOf	"mechanism"
18	"source selection"	rdfs:subClassOf	"selection"
18	"selection mechanism"	rdfs:subClassOf	"mechanism"
18	"selection"	rdfs:member	"selection mechanism"
18	"source"	rdfs:member	"source selection"
18	"source selection"	rdfs:member	"source selection mechanism"
18	"source selection mechanism"	rdfs:subClassOf	"selection mechanism"
18	"provides"	vn.role:Agent	"source selection mechanism"
19	"moreover daw"	rdfs:subClassOf	"daw"
19	"provides"	vn.role:Recipient	"moreover daw"
19	"source selection mechanism"	rdfs:subClassOf	"mechanism"
19	"source selection"	rdfs:subClassOf	"selection"
19	"selection mechanism"	rdfs:subClassOf	"mechanism"
19	"selection"	rdfs:member	"selection mechanism"
19	"source"	rdfs:member	"source selection"
19	"source selection"	rdfs:member	"source selection mechanism"
19	"source selection mechanism"	rdfs:subClassOf	"selection mechanism"
19	"provides"	vn.role:Agent	"source selection mechanism"
20	"source selection mechanism"	rdfs:subClassOf	"mechanism"
20	"source selection"	rdfs:subClassOf	"selection"
20	"selection mechanism"	rdfs:subClassOf	"mechanism"
20	"selection"	rdfs:member	"selection mechanism"
20	"source"	rdfs:member	"source selection"
20	"source selection"	rdfs:member	"source selection mechanism"
20	"source selection mechanism"	rdfs:subClassOf	"selection mechanism"
20	"maximises"	vn.role:Agent	"source selection mechanism"
20	"maximises"	vn.role:Predicate	"query"
21	"query"	rdfs:member	"query processing"
21	"query processing"	rdfs:subClassOf	"processing"
21	"limited"	vn.role:Patient	"query processing"
21	"subset of sources"	local:of_sources	"subset"
21	"subset of sources"	local:subset_of	"sources"
21	"limited"	vn.role:Proposition	"subset of sources"
