17	"hot"	rdfs:member	"hot spots"
17	"hot spots"	rdfs:subClassOf	"spots"
17	"based"	vn.role:indirect_object	"hot spots"
18	"devise"	vn.role:Agent	"we"
18	"approximate reasoning"	rdfs:subClassOf	"reasoning"
18	"various methods"	rdfs:subClassOf	"methods"
18	"approximate"	rdfs:member	"approximate reasoning"
18	"various"	rdfs:member	"various methods"
18	"various methods for approximate reasoning"	local:for_approximatereasoning	"various methods"
18	"various methods for approximate reasoning"	local:variousmethods_for	"approximate reasoning"
18	"devise"	vn.role:Product	"various methods for approximate reasoning"
18	"hot"	rdfs:member	"hot spots"
18	"hot spots"	rdfs:subClassOf	"spots"
18	"devise"	local:AM-MNR	"hot spots"
18	"hot"	rdfs:member	"hot spots"
18	"hot spots"	rdfs:subClassOf	"spots"
18	"based"	vn.role:indirect_object	"hot spots"
19	"verify"	vn.role:Theme	"we"
19	"difficult ontologies"	rdfs:subClassOf	"ontologies"
19	"varyingly"	rdfs:member	"varyingly difficult"
19	"difficult"	rdfs:member	"difficult ontologies"
19	"varyingly difficult ontologies"	rdfs:subClassOf	"ontologies"
19	"varyingly difficult"	rdfs:member	"varyingly difficult ontologies"
19	"select set"	rdfs:subClassOf	"set"
19	"varyingly difficult"	rdfs:subClassOf	"difficult"
19	"select"	rdfs:member	"select set"
19	"techniques with select set"	local:with_selectset	"techniques"
19	"techniques with select set"	local:techniques_with	"select set"
19	"select set of difficult ontologies"	local:of_difficultontologies	"select set"
19	"select set of difficult ontologies"	local:selectset_of	"difficult ontologies"
19	"verify"	vn.role:Experiencer	"techniques with select set"
19	"hot spots"	rdfs:subClassOf	"spots"
19	"successfully"	rdfs:member	"successfully identify"
19	"available dl"	rdfs:subClassOf	"dl"
19	"freely available"	rdfs:subClassOf	"available"
19	"freely available dl"	rdfs:member	"freely available dl reasoners"
19	"successfully identify performance"	rdfs:subClassOf	"performance"
19	"available dl"	rdfs:member	"available dl reasoners"
19	"freely available"	rdfs:member	"freely available dl"
19	"identify"	rdfs:member	"identify performance"
19	"dl reasoners"	rdfs:subClassOf	"reasoners"
19	"dl"	rdfs:member	"dl reasoners"
19	"ncbo"	rdfs:member	"ncbo bioportal"
19	"hot"	rdfs:member	"hot spots"
19	"successfully identify"	rdfs:member	"successfully identify performance"
19	"identify performance"	rdfs:subClassOf	"performance"
19	"freely available dl reasoners"	rdfs:subClassOf	"reasoners"
19	"successfully identify"	rdfs:subClassOf	"identify"
19	"ncbo bioportal"	rdfs:subClassOf	"bioportal"
19	"available"	rdfs:member	"available dl"
19	"classification"	rdfs:member	"classification time"
19	"freely available dl"	rdfs:subClassOf	"dl"
19	"classification time"	rdfs:subClassOf	"time"
19	"available dl reasoners"	rdfs:subClassOf	"reasoners"
19	"freely"	rdfs:member	"freely available"
19	"significantly improve"	rdfs:subClassOf	"improve"
19	"secondly significantly improve"	rdfs:subClassOf	"significantly improve"
19	"available dl reasoners"	rdfs:subClassOf	"dl reasoners"
19	"major available dl reasoners"	rdfs:subClassOf	"available dl reasoners"
19	"performance hot spots"	rdfs:subClassOf	"hot spots"
19	"firstly bioportal"	rdfs:subClassOf	"bioportal"
19	"firstly bioportal ncbo"	rdfs:subClassOf	"ncbo"
19	"performance hot spots against major available dl reasoners"	local:against_majoravailabledlreasoners	"performance hot spots"
19	"performance hot spots against major available dl reasoners"	local:performancehotspots_against	"major available dl reasoners"
19	"verify"	vn.role:other	"successfully identify"
19	"difficult ontologies"	rdfs:subClassOf	"ontologies"
19	"varyingly"	rdfs:member	"varyingly difficult"
19	"difficult"	rdfs:member	"difficult ontologies"
19	"ncbo"	rdfs:member	"ncbo bioportal"
19	"varyingly difficult ontologies"	rdfs:subClassOf	"ontologies"
19	"varyingly difficult"	rdfs:member	"varyingly difficult ontologies"
19	"select set"	rdfs:subClassOf	"set"
19	"varyingly difficult"	rdfs:subClassOf	"difficult"
19	"ncbo bioportal"	rdfs:subClassOf	"bioportal"
19	"select"	rdfs:member	"select set"
19	"firstly bioportal"	rdfs:subClassOf	"bioportal"
19	"ncbo firstly bioportal"	rdfs:subClassOf	"firstly bioportal"
19	"techniques with select set"	local:with_selectset	"techniques"
19	"techniques with select set"	local:techniques_with	"select set"
19	"select set of difficult ontologies"	local:of_difficultontologies	"select set"
19	"select set of difficult ontologies"	local:selectset_of	"difficult ontologies"
19	"difficult ontologies from ncbo firstly bioportal"	local:from_ncbofirstlybioportal	"difficult ontologies"
19	"difficult ontologies from ncbo firstly bioportal"	local:difficultontologies_from	"ncbo firstly bioportal"
19	"identify"	vn.role:Agent	"techniques with select set"
19	"identify"	local:AM-MNR	"successfully"
19	"hot spots"	rdfs:subClassOf	"spots"
19	"freely available"	rdfs:member	"freely available dl"
19	"classification"	rdfs:member	"classification time"
19	"available dl"	rdfs:subClassOf	"dl"
19	"freely available"	rdfs:subClassOf	"available"
19	"dl reasoners"	rdfs:subClassOf	"reasoners"
19	"dl"	rdfs:member	"dl reasoners"
19	"freely available dl"	rdfs:subClassOf	"dl"
19	"freely available dl reasoners"	rdfs:subClassOf	"reasoners"
19	"available dl reasoners"	rdfs:subClassOf	"reasoners"
19	"freely available dl"	rdfs:member	"freely available dl reasoners"
19	"classification time"	rdfs:subClassOf	"time"
19	"hot"	rdfs:member	"hot spots"
19	"available dl"	rdfs:member	"available dl reasoners"
19	"freely"	rdfs:member	"freely available"
19	"available"	rdfs:member	"available dl"
19	"significantly improve"	rdfs:subClassOf	"improve"
19	"secondly significantly improve"	rdfs:subClassOf	"significantly improve"
19	"available dl reasoners"	rdfs:subClassOf	"dl reasoners"
19	"major available dl reasoners"	rdfs:subClassOf	"available dl reasoners"
19	"performance hot spots"	rdfs:subClassOf	"hot spots"
19	"performance hot spots against major available dl reasoners"	local:against_majoravailabledlreasoners	"performance hot spots"
19	"performance hot spots against major available dl reasoners"	local:performancehotspots_against	"major available dl reasoners"
19	"identify"	vn.role:Theme	"performance hot spots against major available dl reasoners"
19	"hot spots"	rdfs:subClassOf	"spots"
19	"freely available"	rdfs:member	"freely available dl"
19	"available dl"	rdfs:subClassOf	"dl"
19	"freely available"	rdfs:subClassOf	"available"
19	"dl reasoners"	rdfs:subClassOf	"reasoners"
19	"dl"	rdfs:member	"dl reasoners"
19	"freely available dl"	rdfs:subClassOf	"dl"
19	"freely available dl reasoners"	rdfs:subClassOf	"reasoners"
19	"available dl reasoners"	rdfs:subClassOf	"reasoners"
19	"freely available dl"	rdfs:member	"freely available dl reasoners"
19	"hot"	rdfs:member	"hot spots"
19	"available dl"	rdfs:member	"available dl reasoners"
19	"freely"	rdfs:member	"freely available"
19	"available"	rdfs:member	"available dl"
19	"secondly spots"	rdfs:subClassOf	"spots"
19	"available dl reasoners"	rdfs:subClassOf	"dl reasoners"
